COUNT,RARITY,METATOON STUDIOS CHARACTER,BACKGROUND NAME,BACKGROUND COLOR,SKIN,SKIN COLOR NAME,BODY,BODY COLOR NAME,FACE,FACE COLOR NAME,FRECKLES,WHISKERS,TEETH,TEETH COLOR NAME,TONGUE,TONGUE COLOR,EYES,EYE COLOR NAME,TRAIT 1,TRAIT 1 - COLOR 1,TRAIT 1 - COLOR 2,TRAIT 2,TRAIT 2 - COLOR 1,TRAIT 2 - COLOR 2,TRAIT 3,TRAIT 3 - COLOR 1,TRAIT 3 - COLOR 2,TRAIT 4,TRAIT 4 - COLOR 1,TRAIT 4 - COLOR 2,PROP
23,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,LAUGHING,SADDLE RANCH,NA,YES,WOLF FANGS,BONE,OG,RED RUM,LOONY EYES,CAN O' GREEN,SEEING STARS,MAIN SQUUEZE,NA,SCENE OF THE CRIME,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA
24,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,LAUGHING,SADDLE RANCH,NA,NA,WOLF FANGS,DARK WHITE,OG,EUCALYPTUS,XX,TUXEDO BLACK,10 GALLON,SAND,NA,STICK EM UP,POW RED,NA,NA,NA,NA,NA,NA,NA,NA
25,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,LAUGHING,SADDLE RANCH,NA,NA,WOLF FANGS,DARK WHITE,OG,RED RUM,?,?,SEEING STARS,ROYAL BLUE,NA,THUMPED,LEMONADE,NA,LAST WORDS,REAPER GREY,NA,NA,NA,NA,NA
26,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,LAUGHING,SADDLE RANCH,NA,NA,WOLF FANGS,BONE,OG,RED RUM,EXHILARATION,CAN O' GREEN,CONDEMNED,BONE,NA,NEEDS MORE COWBELL,TANGERINE,BACON BROWN,NA,NA,NA,NA,NA,NA,MUSCLE MILK
27,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,LAUGHING,SADDLE RANCH,YES,YES,WOLF FANGS,BONE,OG,RED RUM,SOULESS,CAPPUCCINO,CONDEMNED,BONE,NA,STICK EM UP,GI GREEN,NA,NA,NA,NA,NA,NA,NA,NA
28,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,LAUGHING,SADDLE RANCH,YES,NA,WOLF FANGS,BONE,OG,FIAT YELLOW,XX,TUXEDO BLACK,SALVATION,VICE BLUE,NA,CUPIDS BOW,PASTEL PINK ,NA,SCENE OF THE CRIME,ROYAL BLUE,NA,NA,NA,NA,NA
29,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,LAUGHING,SADDLE RANCH,YES,NA,WOLF FANGS,BONE,OG,RED RUM,PAYDAY,CAN O' GREEN,SALVATION,SUNSET ,NA,BLOWIN STEAM,SAND,NA,NEEDS MORE COWBELL,TANGERINE,BACON BROWN,NA,NA,NA,NA
30,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,SWISS BROWN,TOON,DARK WHITE,LAUGHING,SADDLE RANCH,NA,YES,WOLF FANGS,DARK WHITE,OG,TIMELESS  PINK,EXHILARATION,DARK WHITE,MIND BLOWN,LEMONADE,NA,CONDEMNED,DARK WHITE,NA,STICK EM UP,ROYAL BLUE,NA,NA,NA,NA,NA
31,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,MALICIOUS,SADDLE RANCH,NA,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,TOON EYES,DARK WHITE,CONDEMNED,DARK WHITE,NA,ARTEMIS'S BOW,ROYAL BLUE,YOLK,NEEDS MORE COWBELL,TANGERINE,BACON BROWN,NA,NA,NA,NA
32,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,MALICIOUS,SADDLE RANCH,NA,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,TOON EYES,HONEYCOMB,10 GALLON,SAND,NA,ARTEMIS'S BOW,TUXEDO BLACK,DARK WHITE,STICK EM UP,GI GREEN,NA,SCENE OF THE CRIME,ROYAL BLUE,NA,NA
33,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,MALICIOUS,SADDLE RANCH,NA,YES,WOLF FANGS,DARK WHITE,OG,PASTEL PINK ,INFATUATION,HELL RED,CONDEMNED,DARK WHITE,NA,BLOWIN STEAM,HONEYCOMB,NA,STICK EM UP,SAND,NA,NA,NA,NA,NA
34,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CATTLE,DARK WHITE,TOON,SWISS BROWN,MALICIOUS,SADDLE RANCH,NA,YES,WOLF FANGS,BONE,OG,BRIORANGE,TOON EYES,GOLD RUSH,CONDEMNED,BONE,NA,NEEDS MORE COWBELL,TANGERINE,BACON BROWN,NA,NA,NA,NA,NA,NA,NA
35,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,FLUFFY CLOUD,OG,RAD GREEN,LAUGHING,SADDLE RANCH,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,KILLER PINK,XX,TUXEDO BLACK,THUMPED,BILLIE GREEN,NA,LAST WORDS,FIRE RED,NA,SCENE OF THE CRIME,BILLIE GREEN,NA,NA,NA,NA,NA
36,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,FLUFFY CLOUD,OG,TUXEDO BLACK,LAUGHING,CAPPUCCINO,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,POW RED,HADES LENS,JUST BROWM,SCENE OF THE CRIME,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,TUXEDO BLACK,LAUGHING,SADDLE RANCH,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,BRIORANGE,PABLO'S WEB,BLISS BROWN,SALVATION,FIAT YELLOW,NA,SCENE OF THE CRIME,SUNNY BROWN,NA,NA,NA,NA,NA,NA,NA,NA
38,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,TUXEDO BLACK,LAUGHING,LATTE,YES,YES,WOLF FANGS,FLUFFY CLOUD,OG,FIAT YELLOW,SOULESS,JUST BROWM,SALVATION,FIAT YELLOW,NA,ARTEMIS'S BOW,POW RED,DARK WHITE,SCENE OF THE CRIME,KILLER PINK,NA,NA,NA,NA,DRINKERS DELIGHT
39,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,PURP,LAUGHING,SADDLE RANCH,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,FUD RED,EXHILARATION,HYPER BLUE,MIND BLOWN,GHOST WHITE,NA,ARTEMIS'S BOW,FUD RED,NA,NA,NA,NA,NA,NA,NA,NA
40,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,DARK WHITE,OG,VICE BLUE,LAUGHING,SADDLE RANCH,NA,YES,WOLF FANGS,BONE,OG,TIMELESS  PINK,INFATUATION,TIMELESS  PINK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,AMOR
41,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,DARK WHITE,OG,FLAMINGO PINK,LAUGHING,EGGSHELL,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,BLUEBERRY FROYO,SOULESS,BROWNIE,CUPIDS BOW,VICE BLUE,NA,SCENE OF THE CRIME,VICE BLUE,NA,NA,NA,NA,NA,NA,NA,NA
42,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,THING GREEN,OG,TUXEDO BLACK,LAUGHING,CAPPUCCINO,NA,YES,WOLF FANGS,BONE,OG,DEAD ROSE,PABLO'S WEB,JUST BROWM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,ZOMBGREY,LAUGHING,RARE AIR ,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,SUNKISS,TOON EYES,MUSTARD,SEEING STARS,GRAVE PURPLE,NA,STICK EM UP,SHARKY BLUE,NA,NA,NA,NA,NA,NA,NA,NA
44,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,TUXEDO BLACK,LAUGHING,CAPPUCCINO,NA,YES,WOLF FANGS,DARK WHITE,OG,TAMARINDO,LOONY EYES,GHOST WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,DARK WHITE,OG,COOL GREY,LAUGHING,EGGSHELL,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,COLOR NAME HERE,LOONY EYES,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,TUXEDO BLACK,MALICIOUS,LUSH BROWN,NA,NA,WOLF FANGS,FLUFFY CLOUD,OG,GRAVE PURPLE,TOON EYES,GOLD RUSH,SCENE OF THE CRIME,HELL RED,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,ALLEY ORANGE,MALICIOUS,LUSH BROWN,NA,NA,WOLF FANGS,DARK WHITE,OG,VALENTINE PINK,?,?,LAST WORDS,MOONLIGHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,GHOST WHITE,OG,BLUE HUE,MALICIOUS,LOUIS GREY,NA,YES,WOLF FANGS,BONE,OG,GRAVE PURPLE,TOON EYES,DARK WHITE,BLOWIN STEAM,HONEYCOMB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,TUXEDO BLACK,MALICIOUS,LOUIS GREY,NA,YES,WOLF FANGS,LEPORID WHITE,OG,FIRE RED,TOON EYES,GOLD RUSH,KA BOOM,SPECIAL ORANGE,HYPER BLUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,BONE,OG,TUXEDO BLACK,MALICIOUS,SADDLE RANCH,NA,YES,WOLF FANGS,FLUFFY CLOUD,OG,SPECIAL ORANGE,PAYDAY,TANGERINE,CONDEMNED,FLUFFY CLOUD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,MUMMY,MOONLIGHT,OG,TUXEDO BLACK,MALICIOUS,LATTE,NA,YES,WOLF FANGS,CHAMPAGNE,OG,VICE BLUE,VOID,VICE BLUE,SALVATION,TUXEDO BLACK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,BONE,OG,HELL RED,?,?,SALVATION,FIAT YELLOW,NA,LAST WORDS,MOONLIGHT,NA,NA,NA,NA,NA,NA,NA,SPARKLING SPRAYER
53,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,BONE,OG,EUCALYPTUS,EXHILARATION,TANGERINE,KA BOOM,POW RED,NA,SCENE OF THE CRIME,SUNSET ,NA,NA,NA,NA,NA,NA,NA,NA
54,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,CAPPUCCINO,YES,YES,WOLF FANGS,BONE,OG,SPECIAL ORANGE,INFATUATION,TANGERINE,10 GALLON,EGGNOG,NA,CUPIDS BOW,CAPPUCCINO,NA,STICK EM UP,WESTERN POTATO,NA,NA,NA,NA,NA
55,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,SADDLE RANCH,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,XX,TUXEDO BLACK,CONDEMNED,DARK WHITE,NA,LAST WORDS,FIAT YELLOW,NA,NA,NA,NA,NA,NA,NA,MOLLIWOP
56,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,NA,WOLF FANGS,DARK WHITE,OG,GRAVE PURPLE,PABLO'S WEB,JUST BROWM,SALVATION,TUXEDO BLACK,NA,CUPIDS BOW,TUXEDO BLACK,DARK WHITE,SCENE OF THE CRIME,BLUE HUE,NA,NA,NA,NA,NA
57,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,CAN O' GREEN,EXHILARATION,HELL RED,SEEING STARS,CAN O' GREEN,NA,SCENE OF THE CRIME,HELL RED,NA,NA,NA,NA,NA,NA,NA,NA
58,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,POW RED,PAYDAY,HYPER BLUE,BLOWIN STEAM,DARK WHITE,NA,STICK EM UP,SUNSET ,NA,NA,NA,NA,NA,NA,NA,NA
59,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,BLUE HUE,PAYDAY,TUXEDO BLACK,SEEING STARS,DARK WHITE,NA,THUMPED,JIMMY BLUE,NA,NA,NA,NA,NA,NA,NA,NA
60,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,INFATUATION,GRAVE PURPLE,CONDEMNED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,NOIR GREY,YES,YES,WOLF FANGS,DARK WHITE,OG,DEAD ROSE,XX,TUXEDO BLACK,CONDEMNED,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,GHOST WHITE,YES,YES,WOLF FANGS,DARK WHITE,OG,CAN O' GREEN,HADES LENS,TOMB GREY,SCENE OF THE CRIME,GHOST WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,BONE,OG,VALENTINE PINK,?,?,CUPIDS BOW,VALENTINE PINK,SAND,LAST WORDS,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA
64,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,KILLER PINK,EXHILARATION,DARK WHITE,10 GALLON,VALENTINE PINK,NA,STICK EM UP,RAD GREEN,NA,NA,NA,NA,NA,NA,NA,HERMES FLIGHT
65,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,RAD GREEN,PAYDAY,KILLER PINK,STICK EM UP,KILLER PINK,NA,SCENE OF THE CRIME,RAD GREEN,NA,NA,NA,NA,NA,NA,NA,NA
66,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,LAUGHING,LATTE,NA,YES,WOLF FANGS,DARK WHITE,OG,ROYAL BLUE,LOONY EYES,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,MALICIOUS,LATTE,NA,YES,WOLF FANGS,WHEAT,OG,SPECIAL ORANGE,VOID,SPECIAL ORANGE,CONDEMNED,WHEAT,NA,ARTEMIS'S BOW,SPECIAL ORANGE,NA,NA,NA,NA,NA,NA,NA,NA
68,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,MALICIOUS,LATTE,NA,NA,WOLF FANGS,DARK WHITE,OG,SHARKY BLUE,TOON EYES,SLEEPY GREY,SALVATION,TUXEDO BLACK,NA,SCENE OF THE CRIME,TUXEDO BLACK,NA,NA,NA,NA,NA,NA,NA,NA
69,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,MALICIOUS,LATTE,NA,NA,WOLF FANGS,DARK WHITE,OG,VALENTINE PINK,TOON EYES,GOLD RUSH,THUMPED,VALENTINE PINK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,MALICIOUS,LATTE,YES,YES,WOLF FANGS,DARK WHITE,OG,HELL RED,?,?,LAST WORDS,GRAVE PURPLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,CHECKMATE,CHECKAMTE GREY,OG,TUXEDO BLACK,MALICIOUS,LATTE,YES,YES,WOLF FANGS,DARK WHITE,OG,POW RED,TOON EYES,DARK WHITE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,ULTRA RARE ,LOUIS WOLF,GALLERY,ARCTIC WHITE,NOIR,NOIR BLACK,OG,NOIR BLACK,LAUGHING,NOIR GREY,YES,YES,WOLF FANGS,DARK WHITE,OG,BATES GREY,PAYDAY,NOIR BLACK,SALVATION,NOIR BLACK,NA,BLOWIN STEAM,NOIR SMOKE,NA,SCENE OF THE CRIME,BATES GREY,NA,NA,NA,NA,NOIR BAG SECURED
